countryCode,name,wikidataID,gender,twitterScreenname,twitterID,positionHeld,group,groupFromState,district
US,Guy Reschenthaler,http://www.wikidata.org/entity/Q22096097,male,reschenthaler || greschenthaler,477223342 || 4205133682,United States representative,Republican Party,Republican Party,Pennsylvania's 14th congressional district
US,Brian Mast,http://www.wikidata.org/entity/Q27733854,male,repbrianmast || brianmastfl,814103950404239360 || 3170031728,United States representative,Republican Party,Republican Party,Florida's 18th congressional district
US,Vicente Gonzalez,http://www.wikidata.org/entity/Q27924921,male,repgonzalez,818536152588238849,United States representative,Democratic Party,Democratic Party,Texas's 15th congressional district
US,Conor Lamb,http://www.wikidata.org/entity/Q43387164,male,conorlambpa,855240223432769538,United States representative,Democratic Party,Democratic Party,Pennsylvania's 17th congressional district
US,Deb Haaland,http://www.wikidata.org/entity/Q54860790,female,repdebhaaland || deb4congressnm || secdebhaaland,1080695666760929280 || 286476728 || 1370049534831824901,United States representative,Democratic Party,Democratic Party,New Mexico's 1st congressional district
US,Pete Stauber,http://www.wikidata.org/entity/Q55955746,male,reppetestauber || petestauber,1075830599007510535 || 883069589722198018,United States representative,Republican Party,Republican Party,Minnesota's 8th congressional district
US,Haley Stevens,http://www.wikidata.org/entity/Q58322563,female,haleylive,391445643,United States representative,Democratic Party,Democratic Party,Michigan's 11th congressional district
US,Kendra Horn,http://www.wikidata.org/entity/Q58323559,female,hornforcongress || repkendrahorn || votekendraok,880850093548687360 || 1083019402046513152,United States representative,Democratic Party,Democratic Party,Oklahoma's 5th congressional district
US,Debbie Mucarsel-Powell,http://www.wikidata.org/entity/Q58323616,female,debbieforfl,750046943905058816,United States representative,Democratic Party,Democratic Party,Florida's 26th congressional district
US,Harley Rouda,http://www.wikidata.org/entity/Q58333597,male,repharley,1075080722241736704,United States representative,California Republican Party,Democratic Party,California's 48th congressional district
US,Kim Schrier,http://www.wikidata.org/entity/Q58333616,female,repkimschrier,1080462532815532032,United States representative,Democratic Party,Democratic Party,Washington's 8th congressional district
US,Bryan Steil,http://www.wikidata.org/entity/Q58494431,male,repbryansteil,1075205691621720064,United States representative,Republican Party,Republican Party,Wisconsin's 1st congressional district
US,TJ Cox,http://www.wikidata.org/entity/Q59306065,male,reptjcox || tjcoxcongress,1080875913926139910 || 882843534750961664,United States representative,Democratic Party,Democratic Party,California's 21st congressional district
US,Steven Palazzo,http://www.wikidata.org/entity/Q24230,male,congpalazzo,299883942,United States representative,Republican Party,Republican Party,Mississippi's 4th congressional district
US,Debbie Wasserman Schultz,http://www.wikidata.org/entity/Q50104,female,dwstweets,115979444,United States representative,Democratic Party,Democratic Party,Florida's 23rd congressional district
US,Jim Jordan,http://www.wikidata.org/entity/Q186215,male,jim_jordan,18166778,United States representative,Republican Party,Republican Party,Ohio's 4th congressional district
US,Linda Sánchez,http://www.wikidata.org/entity/Q291143,female,replindasanchez,312134473,United States representative,Democratic Party,Democratic Party,California's 38th congressional district
US,Kenny Marchant,http://www.wikidata.org/entity/Q368184,male,repkenmarchant,23976316,United States representative,Republican Party,Republican Party,Texas's 24th congressional district
US,Adrian Smith,http://www.wikidata.org/entity/Q373443,male,repadriansmith,296245061,United States representative,Republican Party || U.S.-Japan Caucus,Republican Party,Nebraska's 3rd congressional district
US,Doris Matsui,http://www.wikidata.org/entity/Q399561,female,dorismatsui,38254095,United States representative,Democratic Party,Democratic Party,California's 6th congressional district
US,Terri Sewell,http://www.wikidata.org/entity/Q461621,female,repterrisewell,381152398,United States representative,Democratic Party,Democratic Party,Alabama's 7th congressional district
US,Maxine Waters,http://www.wikidata.org/entity/Q461727,female,repmaxinewaters || maxinewaters,36686040 || 3166120541,United States representative,Democratic Party,Democratic Party,California's 43rd congressional district
US,Grace Napolitano,http://www.wikidata.org/entity/Q469139,female,gracenapolitano || grace4congress,161411080 || 4895651115,United States representative,Democratic Party,Democratic Party,California's 32nd congressional district
US,Louie Gohmert,http://www.wikidata.org/entity/Q532647,male,replouiegohmert,22055226,United States representative,Republican Party,Republican Party,Texas's 1st congressional district
US,Mac Thornberry,http://www.wikidata.org/entity/Q539444,male,mactxpress,377534571,United States representative,Republican Party,Republican Party,Texas's 13th congressional district
US,Michael McCaul,http://www.wikidata.org/entity/Q539509,male,repmccaul,26424123,United States representative,Republican Party,Republican Party,Texas's 10th congressional district
US,Michael C. Burgess,http://www.wikidata.org/entity/Q539521,male,michaelcburgess,15751083,United States representative,Republican Party,Republican Party,Texas's 26th congressional district
US,Mike Simpson,http://www.wikidata.org/entity/Q549521,male,congmikesimpson,76132891,United States representative,Republican Party,Republican Party,Idaho's 2nd congressional district
US,Cheri Bustos,http://www.wikidata.org/entity/Q723148,female,repcheri,1092979962,United States representative,Democratic Party,Democratic Party,Illinois's 17th congressional district
US,Bill Johnson,http://www.wikidata.org/entity/Q862215,male,repbilljohnson,211530910,United States representative,Republican Party,Republican Party,Ohio's 6th congressional district
US,Dutch Ruppersberger,http://www.wikidata.org/entity/Q981559,male,call_me_dutch,305620929,United States representative,Democratic Party,Democratic Party,Maryland's 2nd congressional district
US,Peter Welch,http://www.wikidata.org/entity/Q1112656,male,welchforvt || peterwelch,499109830 || 1410590874,United States representative,Democratic Party,Democratic Party,Vermont's at-large congressional district
US,David McKinley,http://www.wikidata.org/entity/Q1175610,male,repmckinley,240427862,United States representative,Republican Party,Republican Party,West Virginia's 1st congressional district
US,Don Young,http://www.wikidata.org/entity/Q1239590,male,repdonyoung,37007274,United States representative,Republican Party,Republican Party,Alaska's at-large congressional district
US,Jim McGovern,http://www.wikidata.org/entity/Q1337459,male,repmcgovern,242426145,United States representative,Democratic Party,Democratic Party,Massachusetts's 2nd congressional district
US,Kurt Schrader,http://www.wikidata.org/entity/Q1387868,male,repschrader,20545793,United States representative,Democratic Party,Democratic Party,Oregon's 5th congressional district
US,Peter DeFazio,http://www.wikidata.org/entity/Q1758507,male,reppeterdefazio,252249233,United States representative,Democratic Party,Democratic Party,Oregon's 4th congressional district
US,Thomas Massie,http://www.wikidata.org/entity/Q2426031,male,repthomasmassie,975200486,United States representative,Republican Party,Republican Party,Kentucky's 4th congressional district
US,Bill Foster,http://www.wikidata.org/entity/Q2903389,male,repbillfoster,1080509366,United States representative,Democratic Party,Democratic Party,Illinois's 11th congressional district
US,Markwayne Mullin,http://www.wikidata.org/entity/Q3448772,male,repmullin,1060370282,United States representative,Republican Party,Republican Party,Oklahoma's 2nd congressional district
US,Randy Weber,http://www.wikidata.org/entity/Q4014569,male,txrandy14,1058051748,United States representative,Republican Party,Republican Party,Texas's 14th congressional district
US,Filemon Vela,http://www.wikidata.org/entity/Q4069225,male,repfilemonvela,1083448909,United States representative,Democratic Party,Democratic Party,Texas's 34th congressional district
US,Brendan F. Boyle,http://www.wikidata.org/entity/Q4960876,male,repbrendanboyle,231108733,United States representative,Democratic Party,Democratic Party,Pennsylvania's 2nd congressional district
US,Hakeem Jeffries,http://www.wikidata.org/entity/Q5640425,male,repjeffries,467823431,United States representative,Democratic Party,Democratic Party,New York's 8th congressional district
US,Jack Bergman,http://www.wikidata.org/entity/Q6262116,male,repjackbergman,815241612154417152,United States representative,Republican Party,Republican Party,Michigan's 1st congressional district
US,Lloyd Smucker,http://www.wikidata.org/entity/Q6662742,male,repsmucker,41417564,United States representative,Republican Party,Republican Party,Pennsylvania's 11th congressional district
US,Madeleine Dean,http://www.wikidata.org/entity/Q6726900,female,repdean || madeleinedean,567508925 || 935717078966964228,United States representative,Democratic Party,Democratic Party,Pennsylvania's 4th congressional district
US,Tom O'Halleran,http://www.wikidata.org/entity/Q7817086,male,repohalleran,808416682972770304,United States representative,Republican Party || Democratic Party,Democratic Party,Arizona's 1st congressional district
US,Val Demings,http://www.wikidata.org/entity/Q7909083,female,repvaldemings || valdemings,798973032362606600 || 3404875323,United States representative,Democratic Party,Democratic Party,Florida's 10th congressional district
US,Ruben Gallego,http://www.wikidata.org/entity/Q16218474,male,reprubengallego,2966570782,United States representative,Democratic Party,Democratic Party,Arizona's 7th congressional district
US,Debbie Lesko,http://www.wikidata.org/entity/Q16731415,female,repdlesko,996094929733652481,United States representative,Republican Party,Republican Party,Arizona's 8th congressional district
US,Mark Walker,http://www.wikidata.org/entity/Q17388892,male,repmarkwalker,2966205003,United States representative,Republican Party,Republican Party,North Carolina's 6th congressional district
US,Chuy García,http://www.wikidata.org/entity/Q18631698,male,chuyforcongress,2847603597,United States representative,Democratic Party,Democratic Party,Illinois's 4th congressional district
US,Drew Ferguson,http://www.wikidata.org/entity/Q26157659,male,repdrewferguson,806583915012046854,United States representative,Republican Party,Republican Party,Georgia's 3rd congressional district
US,Salud Carbajal,http://www.wikidata.org/entity/Q27805429,male,repcarbajal,816157667882373120,United States representative,Democratic Party,Democratic Party,California's 24th congressional district
US,William Timmons,http://www.wikidata.org/entity/Q28837296,male,reptimmons || votetimmons,1079770852302958592 || 958510641228275712,United States representative,Republican Party,Republican Party,South Carolina's 4th congressional district
US,Greg Pence,http://www.wikidata.org/entity/Q52151577,male,repgregpence || gregpencein,1082369392229400576 || 890038958104735744,United States representative,Republican Party,Republican Party,Indiana's 6th congressional district
US,Gil Cisneros,http://www.wikidata.org/entity/Q54958760,male,repgilcisneros || gilcisnerosca,1080986167003230208 || 876894308309147650,United States representative,Republican Party || Democratic Party,Democratic Party,California's 39th congressional district
US,Chrissy Houlahan,http://www.wikidata.org/entity/Q56274180,female,rephoulahan,1052896620797460481,United States representative,Democratic Party,Democratic Party,Pennsylvania's 6th congressional district
US,Lori Trahan,http://www.wikidata.org/entity/Q56486676,female,reploritrahan,1079802482640019456,United States representative,Democratic Party,Democratic Party,Massachusetts's 3rd congressional district
US,Susan Wild,http://www.wikidata.org/entity/Q58323072,female,repsusanwild,1069636653353000962,United States representative,Democratic Party,Democratic Party,Pennsylvania's 7th congressional district
US,Dean Phillips,http://www.wikidata.org/entity/Q58323131,male,deanbphillips || repdeanphillips,39894447 || 1061310112013434882,United States representative,Democratic Party,Democratic Party,Minnesota's 3rd congressional district
US,Susie Lee,http://www.wikidata.org/entity/Q58333611,female,repsusielee || susieleenv,1079061579973439488 || 602919981,United States representative,Democratic Party,Democratic Party,Nevada's 3rd congressional district
US,Kevin Hern,http://www.wikidata.org/entity/Q58333614,male,repkevinhern,1067818539179024386,United States representative,Republican Party,Republican Party,Oklahoma's 1st congressional district
US,Ron Wright,http://www.wikidata.org/entity/Q60428775,male,repronwright,1080854935535800320,United States representative,Republican Party,Republican Party,Texas's 6th congressional district
US,Jaime Herrera Beutler,http://www.wikidata.org/entity/Q168592,female,herrerabeutler,242926427,United States representative,Republican Party,Republican Party,Washington's 3rd congressional district
US,Tom Cole,http://www.wikidata.org/entity/Q173839,male,tomcoleok04,23124635,United States representative,Republican Party,Republican Party,Oklahoma's 4th congressional district
US,Ted Deutch,http://www.wikidata.org/entity/Q245724,male,repteddeutch,137794015,United States representative,Democratic Party,Democratic Party,Florida's 22nd congressional district
US,Anna Eshoo,http://www.wikidata.org/entity/Q291193,female,repannaeshoo,249348006,United States representative,Democratic Party,Democratic Party,California's 18th congressional district
US,Ed Perlmutter,http://www.wikidata.org/entity/Q331507,male,repperlmutter,20552026,United States representative,Democratic Party,Democratic Party,Colorado's 7th congressional district
US,Vicky Hartzler,http://www.wikidata.org/entity/Q375389,female,rephartzler,237763317,United States representative,Republican Party,Republican Party,Missouri's 4th congressional district
US,Nydia M. Velázquez,http://www.wikidata.org/entity/Q434890,female,nydiavelazquez,164369297,United States representative,Democratic Party,Democratic Party,New York's 7th congressional district
US,Chellie Pingree,http://www.wikidata.org/entity/Q457243,female,chelliepingree,14984637,United States representative,Democratic Party,Democratic Party,Maine's 1st congressional district
US,Susan Davis,http://www.wikidata.org/entity/Q460675,female,repsusandavis,432771620,United States representative,Democratic Party,Democratic Party,California's 53rd congressional district
US,Sheila Jackson Lee,http://www.wikidata.org/entity/Q461734,female,jacksonleetx18,80612021,United States representative,Democratic Party,Democratic Party,Texas's 18th congressional district
US,Karen Bass,http://www.wikidata.org/entity/Q461739,female,repkarenbass,239949176,United States representative,Democratic Party,Democratic Party,California's 37th congressional district
US,Rick Larsen,http://www.wikidata.org/entity/Q503529,male,repricklarsen,404132211,United States representative,Democratic Party,Democratic Party,Washington's 2nd congressional district
US,Ron Kind,http://www.wikidata.org/entity/Q505222,male,repronkind,112740986,United States representative,Democratic Party,Democratic Party,Wisconsin's 3rd congressional district
US,Bill Pascrell,http://www.wikidata.org/entity/Q529090,male,pascrellfornj || billpascrell,515736574 || 74508260,United States representative,Democratic Party,Democratic Party,New Jersey's 9th congressional district
US,Jim Costa,http://www.wikidata.org/entity/Q675869,male,repjimcosta,245451804,United States representative,Democratic Party,Democratic Party,California's 16th congressional district
US,Al Green,http://www.wikidata.org/entity/Q749039,male,repalgreen,156333623,United States representative,Democratic Party,Democratic Party,Texas's 9th congressional district
US,Bill Posey,http://www.wikidata.org/entity/Q862373,male,congbillposey,25086658,United States representative,Republican Party,Republican Party,Florida's 8th congressional district
US,Chris Smith,http://www.wikidata.org/entity/Q981167,male,repchrissmith,1289319271,United States representative,Republican Party || Democratic Party,Republican Party,New Jersey's 4th congressional district
