countryCode,name,wikidataID,gender,twitterScreenname,twitterID,positionHeld,group,groupFromState,district
US,Susan Collins,http://www.wikidata.org/entity/Q22279,female,senatorcollins,19726613,United States senator,Republican Party,Republican Party,Maine Class 2 senate seat
US,Maggie Hassan,http://www.wikidata.org/entity/Q24053,female,maggie_hassan || senatorhassan,361569788 || 946549322,United States senator,Democratic Party,Democratic Party,New Hampshire Class 3 senate seat
US,Marco Rubio,http://www.wikidata.org/entity/Q324546,male,marcorubio,15745368,United States senator,Republican Party,Republican Party,Florida Class 3 senate seat
US,Ron Wyden,http://www.wikidata.org/entity/Q529344,male,ronwyden || wydenpress || wydenfororegon,250188760 || 292495654 || 122124607,United States senator,Democratic Party,Democratic Party,Oregon Class 3 senate seat
US,Angus King,http://www.wikidata.org/entity/Q544464,male,senangusking,1068481578,United States senator,independent politician,independent politician,Maine Class 1 senate seat
US,Chris Coons,http://www.wikidata.org/entity/Q923242,male,sencoonsoffice || chriscoons,435500714 || 15324851,United States senator,Democratic Party,Democratic Party,Delaware Class 2 senate seat
US,Cory Gardner,http://www.wikidata.org/entity/Q1135774,male,corygardner || sencorygardner,20879626 || 235217558,United States senator,Republican Party || Colorado Republican Party,Republican Party,Colorado Class 2 senate seat
US,Catherine Cortez Masto,http://www.wikidata.org/entity/Q5052604,female,sencortezmasto || cortezmasto,811313565760163844 || 3145735852,United States senator,Democratic Party,Democratic Party,Nevada Class 3 senate seat
US,Ben Sasse,http://www.wikidata.org/entity/Q16192221,male,sensasse,2962923040,United States senator,Republican Party,Republican Party,Nebraska Class 2 senate seat
US,Mike Braun,http://www.wikidata.org/entity/Q42804470,male,senatorbraun || braun4indiana,1080870981877534720 || 1861019372,United States senator,Republican Party,Republican Party,Indiana Class 1 senate seat
US,Mitt Romney,http://www.wikidata.org/entity/Q4496,male,mittromney,50055701,United States senator,Republican Party,Republican Party,Utah Class 1 senate seat
US,Todd Young,http://www.wikidata.org/entity/Q25483,male,sentoddyoung || toddyoungin,234128524 || 59969802,United States senator,Republican Party,Republican Party,Indiana Class 3 senate seat
US,Tammy Baldwin,http://www.wikidata.org/entity/Q40628,female,tammybaldwin || senatorbaldwin,87510313 || 1074518754,United States senator,Democratic Party,Democratic Party,Wisconsin Class 1 senate seat
US,Debbie Stabenow,http://www.wikidata.org/entity/Q241092,female,senstabenow,76456274,United States senator,Democratic Party,Democratic Party,Michigan Class 1 senate seat
US,Chuck Schumer,http://www.wikidata.org/entity/Q380900,male,senschumer || chuckschumer,17494010 || 1872999342,United States senator,Democratic Party,Democratic Party,New York Class 3 senate seat
US,Sheldon Whitehouse,http://www.wikidata.org/entity/Q652066,male,senwhitehouse,242555999,United States senator,Democratic Party,Democratic Party,Rhode Island Class 1 senate seat
US,Chris Murphy,http://www.wikidata.org/entity/Q1077594,male,chrismurphyct,150078976,United States senator,Democratic Party,Democratic Party,Connecticut Class 1 senate seat
US,Chris Van Hollen,http://www.wikidata.org/entity/Q1077819,male,chrisvanhollen || vanhollenformd,18137749 || 3067974778,United States senator,Democratic Party,Democratic Party,Maryland Class 3 senate seat
US,Gary Peters,http://www.wikidata.org/entity/Q1494930,male,sengarypeters,236511574,United States senator,Democratic Party,Democratic Party,Michigan Class 2 senate seat
US,Kyrsten Sinema,http://www.wikidata.org/entity/Q1556541,female,kyrstensinema || senatorsinema,20747881 || 1080844782,United States senator,Democratic Party || independent politician || Green Party of the United States,Democratic Party,Arizona Class 1 senate seat
